date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-02-13,-2.17,-3.21,74.98,269.28,0.55,0.00,3.97,13.40,15.01,1.18,1.48,1.15,45.05,98.29,51.33,85.05,88390.77,240793.72,19.73,2.27,2190.19,6352.45,9811.13,695.33,918.65,532.80,521.53,1095456.89,119194.36,56429064.73,22923524.22,46684.11,207.99,9571226.80,1662257.02,49925484.59,194000.15,114894.66,729290.95,74576985.26,43396088.89,7658714.04,0.00
2024-02-14,-1.44,-1.85,65.36,276.16,0.65,0.00,1.41,13.69,14.94,0.93,1.50,1.42,35.25,63.66,49.92,82.48,77235.00,247364.04,24.42,1.29,814.12,6708.53,8544.97,547.98,929.98,566.42,80.07,19304.93,113964.92,2223752.48,26176238.20,60844.85,127.54,36685.04,1641198.96,935207.91,125590.62,152324.88,139673.40,2419051.73,4305521.97,3256250.38,0.00
2024-02-15,-1.60,-2.59,77.18,267.53,0.90,0.00,0.67,17.41,13.49,0.39,1.49,1.34,28.66,64.72,46.13,70.52,90066.96,239444.24,34.51,0.29,385.35,8576.56,8242.41,230.34,924.67,593.46,64.77,3889.86,176974.88,1932997.18,20955374.13,65217.08,16.95,-3528.39,1524823.55,239037.74,43335.75,136315.44,94674.90,1894501.28,3887410.54,1914689.79,0.00
2024-02-16,-1.36,-1.08,83.03,273.93,0.67,0.00,0.99,15.45,1.72,0.59,1.43,1.02,33.34,64.00,49.38,63.70,96922.79,245436.91,27.16,0.10,568.17,7276.51,1159.01,348.56,888.86,600.91,70.07,27689.57,60492.27,4363064.44,20757591.69,52082.80,2.42,45946.45,1211094.26,97389.17,52418.60,111450.89,76827.01,2444209.07,4244421.59,2540334.18,0.00
2024-02-17,-1.67,-3.64,80.47,256.83,0.57,0.00,1.94,12.62,0.06,1.14,1.49,1.36,32.27,50.18,59.20,87.50,94522.42,229783.50,21.47,0.33,1114.55,5982.44,38.38,672.52,926.80,573.94,58.87,21985.72,5256.16,3703425.14,16859259.85,34133.61,15.58,106739.86,985975.71,5602.58,109003.72,79245.03,116306.65,2280940.47,3460441.79,1283722.24,0.00
2024-02-18,-1.77,-4.70,82.98,244.30,0.65,0.00,2.44,14.08,0.42,0.31,1.54,0.88,28.60,59.49,56.19,86.69,97538.60,218537.35,24.53,0.46,1403.94,6701.33,250.96,184.12,958.19,569.12,57.78,735.21,-9186.07,2939370.88,16358969.73,44992.03,16.49,91446.10,1139228.24,52569.09,21906.45,86643.28,71312.13,1787422.82,3385151.62,957222.38,0.00
2024-02-19,-1.50,-1.07,84.70,262.26,0.93,0.00,2.48,19.70,1.22,0.55,1.50,1.18,29.28,72.33,57.04,70.52,99630.80,234547.06,36.97,0.38,1425.99,9232.46,737.72,324.54,937.11,577.06,61.11,29816.15,75453.64,2808353.30,19519442.30,70557.62,17.12,96433.69,1299291.87,83345.24,40356.61,111225.05,85092.78,1834233.89,3575874.86,3098727.70,0.00
2024-02-20,-1.26,-3.93,92.54,254.47,1.01,0.00,3.08,25.46,4.22,1.27,1.62,0.94,38.79,63.16,54.49,75.58,108770.97,227239.16,39.22,2.92,1770.89,11807.31,2608.46,750.68,1006.17,578.95,96.07,72475.47,122891.15,6881005.37,25774059.58,102042.84,185.44,336130.98,3953008.54,1216896.54,180913.68,189394.10,178993.25,4157907.03,5247124.16,2410542.04,0.00
2024-02-21,-1.57,-3.23,94.62,259.28,1.04,0.21,6.78,24.02,11.73,1.55,1.68,1.44,41.36,67.65,56.23,85.59,111190.47,231691.83,40.39,241.33,3815.38,11283.07,7393.43,915.02,1044.88,566.99,144.73,346755.59,129864.38,7584103.81,22769286.18,88741.88,1257417.23,6214745.65,10590800.90,9372481.65,2601620.42,141351.27,429791.98,4227006.35,8529835.75,3276910.60,0.00
2024-02-22,-2.08,-2.31,95.92,267.16,1.04,0.54,4.99,22.72,15.53,1.11,1.66,1.81,46.64,89.38,52.58,90.05,112900.46,238907.40,40.46,569.91,2760.09,10735.16,9785.02,653.23,1033.58,549.54,107.57,61700.85,58620.21,7971133.08,31771322.92,118082.58,143913.56,556694.74,3540201.76,2768292.36,112309.43,185835.55,239297.73,6285107.63,6269275.40,2720937.20,0.00
