Date,ModelType,EnergyType,PredictedValue
2025-02-10,LR,Solar,14.066483770052994
2025-02-11,LR,Solar,18.3209365401018
2025-02-12,LR,Solar,20.13809881676923
2025-02-13,LR,Solar,20.13519279551776
2025-02-14,LR,Solar,17.933261197178958
2025-02-15,LR,Solar,20.51264816200134
2025-02-16,LR,Solar,20.43911514740271
2025-02-17,LR,Solar,20.07638833341608
2025-02-18,LR,Solar,20.28606975811384
2025-02-19,LR,Solar,19.19176724364526
2025-02-20,LR,Solar,18.23052412533803
2025-02-21,LR,Solar,20.119855432356868
2025-02-22,LR,Solar,18.482539952985096
2025-02-23,LR,Solar,19.55093244249141
2025-02-10,LR,Wind,8.165366007522998
2025-02-11,LR,Wind,9.14602112609148
2025-02-12,LR,Wind,4.946271942055973
2025-02-13,LR,Wind,6.07166603432706
2025-02-14,LR,Wind,7.975270014505181
2025-02-15,LR,Wind,7.02476426100745
2025-02-16,LR,Wind,5.374203159815675
2025-02-17,LR,Wind,7.119260040581545
2025-02-18,LR,Wind,7.787073740207046
2025-02-19,LR,Wind,6.869256086856477
2025-02-20,LR,Wind,7.295137720752887
2025-02-21,LR,Wind,9.26837840381654
2025-02-22,LR,Wind,9.41899586131453
2025-02-23,LR,Wind,8.272795145712259
2025-02-10,GB,Solar,23.659225463867188
2025-02-11,GB,Solar,23.659225463867188
2025-02-12,GB,Solar,23.659225463867188
2025-02-13,GB,Solar,24.01362609863281
2025-02-14,GB,Solar,24.035200119018555
2025-02-15,GB,Solar,24.035200119018555
2025-02-16,GB,Solar,23.953102111816406
2025-02-17,GB,Solar,22.693096160888672
2025-02-18,GB,Solar,22.693096160888672
2025-02-19,GB,Solar,22.693096160888672
2025-02-20,GB,Solar,22.693096160888672
2025-02-21,GB,Solar,23.17466735839844
2025-02-22,GB,Solar,23.531497955322266
2025-02-23,GB,Solar,23.529203414916992
2025-02-10,GB,Wind,10.150900840759276
2025-02-11,GB,Wind,10.21809196472168
2025-02-12,GB,Wind,10.21809196472168
2025-02-13,GB,Wind,10.21809196472168
2025-02-14,GB,Wind,10.225406646728516
2025-02-15,GB,Wind,10.225406646728516
2025-02-16,GB,Wind,9.841334342956545
2025-02-17,GB,Wind,9.841334342956545
2025-02-18,GB,Wind,9.948775291442873
2025-02-19,GB,Wind,10.124516487121582
2025-02-20,GB,Wind,10.080082893371582
2025-02-21,GB,Wind,9.681286811828612
2025-02-22,GB,Wind,10.285231590270996
2025-02-23,GB,Wind,7.894901275634766
2025-02-10,SARIMA,Solar,19.58025452573456
2025-02-11,SARIMA,Solar,19.573374334442008
2025-02-12,SARIMA,Solar,19.320268338669607
2025-02-13,SARIMA,Solar,19.907135864818045
2025-02-14,SARIMA,Solar,19.42459739758588
2025-02-15,SARIMA,Solar,18.935608839182983
2025-02-16,SARIMA,Solar,19.92253403397129
2025-02-17,SARIMA,Solar,21.4044200490543
2025-02-18,SARIMA,Solar,20.70618694634289
2025-02-19,SARIMA,Solar,19.78370222640805
2025-02-20,SARIMA,Solar,20.08833852995123
2025-02-21,SARIMA,Solar,19.52447363062543
2025-02-22,SARIMA,Solar,19.6225511203936
2025-02-23,SARIMA,Solar,19.84793555320605
2025-02-10,SARIMA,Wind,7.820482763389689
2025-02-11,SARIMA,Wind,6.677909392117152
2025-02-12,SARIMA,Wind,7.220442379642938
2025-02-13,SARIMA,Wind,6.816484210969092
2025-02-14,SARIMA,Wind,6.634849222934696
2025-02-15,SARIMA,Wind,7.675936516971114
2025-02-16,SARIMA,Wind,8.816909237141665
2025-02-17,SARIMA,Wind,8.037883701900462
2025-02-18,SARIMA,Wind,8.326750784544846
2025-02-19,SARIMA,Wind,8.24743909117716
2025-02-20,SARIMA,Wind,7.871899203585764
2025-02-21,SARIMA,Wind,7.932819509291681
2025-02-22,SARIMA,Wind,7.473501314116001
2025-02-23,SARIMA,Wind,6.491946595549788
2025-02-24,LR,Solar,20.164520489804254
2025-02-24,LR,Wind,8.141157584293545
2025-02-24,GB,Solar,23.783493041992188
2025-02-24,GB,Wind,7.894901275634766
2025-02-24,SARIMA,Solar,21.411091878448023
2025-02-24,SARIMA,Wind,11.123964003156877
2025-02-25,LR,Solar,19.733006456246784
2025-02-25,LR,Wind,8.570153833012528
2025-02-25,GB,Solar,23.71337890625
2025-02-25,GB,Wind,7.746776103973389
2025-02-25,SARIMA,Solar,21.411091878448023
2025-02-25,SARIMA,Wind,11.123964003156877
2025-02-26,LR,Solar,19.31154002032428
2025-02-26,LR,Wind,8.415267059014274
2025-02-26,GB,Solar,23.66939926147461
2025-02-26,GB,Wind,7.746776103973389
2025-02-26,SARIMA,Solar,23.4458553961014
2025-02-26,SARIMA,Wind,9.782547264456582
2025-02-27,LR,Solar,20.31085383325503
2025-02-27,LR,Wind,8.16097057073503
2025-02-27,GB,Solar,23.948585510253903
2025-02-27,GB,Wind,8.887951850891113
2025-02-27,SARIMA,Solar,22.61038232705979
2025-02-27,SARIMA,Wind,9.807370839161129
2025-02-28,LR,Solar,20.34684647607076
2025-02-28,LR,Wind,9.375257514577854
2025-02-28,GB,Solar,23.948585510253903
2025-02-28,GB,Wind,9.09488296508789
2025-02-28,SARIMA,Solar,22.75527281530483
2025-02-28,SARIMA,Wind,11.120946179085852
2025-03-01,LR,Solar,20.42536867237898
2025-03-02,LR,Solar,20.3043790971826
2025-03-01,LR,Wind,9.032412500187702
2025-03-02,LR,Wind,7.273709830065093
2025-03-01,GB,Solar,23.65934181213379
2025-03-02,GB,Solar,23.835073471069336
2025-03-01,GB,Wind,9.404294967651367
2025-03-02,GB,Wind,9.529297828674316
2025-03-01,SARIMA,Solar,24.577714864602
2025-03-02,SARIMA,Solar,24.04765689570163
2025-03-01,SARIMA,Wind,10.711347800334238
2025-03-02,SARIMA,Wind,9.311072690960282
2025-03-03,LR,Solar,20.481643864840446
2025-03-03,LR,Wind,6.7398219197837
2025-03-03,GB,Solar,23.835073471069336
2025-03-03,GB,Wind,9.24882698059082
2025-03-03,SARIMA,Solar,24.60256992784565
2025-03-03,SARIMA,Wind,7.272543586688752
2025-03-04,LR,Solar,19.56194490031955
2025-03-05,LR,Solar,18.973774568328807
2025-03-04,LR,Wind,7.402086391054301
2025-03-05,LR,Wind,7.94842012768245
2025-03-04,GB,Solar,23.84420585632324
2025-03-05,GB,Solar,23.84420585632324
2025-03-04,GB,Wind,9.24882698059082
2025-03-05,GB,Wind,9.25887966156006
2025-03-04,SARIMA,Solar,21.602495613478105
2025-03-05,SARIMA,Solar,21.88911924054468
2025-03-04,SARIMA,Wind,9.111768948908882
2025-03-05,SARIMA,Wind,8.592456539002132
2025-03-06,LR,Solar,17.91610580242575
2025-03-06,LR,Wind,6.519713774822692
2025-03-06,GB,Solar,23.84420585632324
2025-03-06,GB,Wind,9.400104522705078
2025-03-06,SARIMA,Solar,24.46004540886696
2025-03-06,SARIMA,Wind,7.756974006907248
2025-03-07,LR,Solar,18.283796377702878
2025-03-08,LR,Solar,18.970479241042803
2025-03-09,LR,Solar,19.541064159740902
2025-03-10,LR,Solar,19.4990752602666
2025-03-11,LR,Solar,18.437271324331622
2025-03-12,LR,Solar,18.10286293382061
2025-03-13,LR,Solar,18.7279567556414
2025-03-07,LR,Wind,5.2193566777175215
2025-03-08,LR,Wind,3.573079267139959
2025-03-09,LR,Wind,5.668288821368981
2025-03-10,LR,Wind,6.544531090332874
2025-03-11,LR,Wind,7.534973140648558
2025-03-12,LR,Wind,7.834562068469233
2025-03-13,LR,Wind,7.839041520955255
2025-03-07,GB,Solar,20.21730613708496
2025-03-08,GB,Solar,20.253042221069336
2025-03-09,GB,Solar,20.253042221069336
2025-03-10,GB,Solar,20.253042221069336
2025-03-11,GB,Solar,20.250686645507812
2025-03-12,GB,Solar,20.175155639648438
2025-03-13,GB,Solar,20.175155639648438
2025-03-07,GB,Wind,9.400104522705078
2025-03-08,GB,Wind,9.156512260437012
2025-03-09,GB,Wind,9.400104522705078
2025-03-10,GB,Wind,9.136651992797852
2025-03-11,GB,Wind,9.17091178894043
2025-03-12,GB,Wind,9.231618881225586
2025-03-13,GB,Wind,9.231618881225586
2025-03-07,SARIMA,Solar,21.84375066764094
2025-03-08,SARIMA,Solar,22.0153521789857
2025-03-09,SARIMA,Solar,21.585805541303035
2025-03-10,SARIMA,Solar,21.651492290470394
2025-03-11,SARIMA,Solar,21.180380903077072
2025-03-12,SARIMA,Solar,20.29932405174819
2025-03-13,SARIMA,Solar,21.18008975690175
2025-03-07,SARIMA,Wind,8.653923998341844
2025-03-08,SARIMA,Wind,7.450073761050588
2025-03-09,SARIMA,Wind,7.879182327093212
2025-03-10,SARIMA,Wind,7.518337731111266
2025-03-11,SARIMA,Wind,7.200855364103442
2025-03-12,SARIMA,Wind,8.115381361356357
2025-03-13,SARIMA,Wind,9.144228853393049
